name,year,latitude,longitude,city,region,zipCode,cuisine,price,stars
Claude Bosi at Bibendum,2019,51.49341,-0.1690893,Chelsea,United Kingdom,SW3 6RD,French,N/A,2
Amador,2019,48.25406,16.35915,Wien,Austria,1190,Creative,$$$$$,3
Manresa,2019,37.22761,-121.98071,South San Francisco,California,95030,Contemporary,$$$$,3
Benu,2019,37.78521,-122.39876,San Francisco,California,94105,Asian,$$$$,3
Quince,2019,37.79762,-122.40337,San Francisco,California,94133,Contemporary,$$$$,3
Atelier Crenn,2019,37.79835,-122.43586,San Francisco,California,94123,Contemporary,$$$$,3
The French Laundry,2019,38.40443,-122.36474,San Francisco,California,94599,Contemporary,$$$$,3
The Restaurant at Meadowood,2019,38.52025,-122.46479,San Francisco,California,94574,Contemporary,$$$$,3
SingleThread,2019,38.612164,-122.869705,San Francisco,California,95448,Contemporary,$$$$,3
Alinea,2019,41.91328,-87.64798,Chicago,Chicago,60614,Contemporary,$$$$,3
Geranium,2019,55.70393,12.57197,København,Denmark,2100 Ø,Creative,$$$$,3
T'ang Court,2019,22.296572,114.1698,Hong Kong,Hong Kong,N/A,Cantonese,$$$,3
Bo Innovation,2019,22.27614,114.171,Hong Kong,Hong Kong,N/A,Innovative,$$$$$,3
Lung King Heen,2019,22.28665,114.15674,Hong Kong,Hong Kong,N/A,Cantonese,$$$$,3
Caprice,2019,22.286646,114.15662,Hong Kong,Hong Kong,N/A,French,$$$$,3
8½ Otto e Mezzo - Bombana,2019,22.28189,114.15839,Hong Kong,Hong Kong,N/A,Italian,$$$$,3
L'Atelier de Joël Robuchon,2019,22.281199,114.15816,Hong Kong,Hong Kong,N/A,French contemporary,$$$$,3
Sushi Shikon,2019,22.28511,114.15208,Hong Kong,Hong Kong,N/A,Sushi,$$$$$,3
The Eight,2019,22.190475,113.54341,Macau,Macau,N/A,Chinese,$$$,3
Robuchon au Dôme,2019,22.189949,113.54395,Macau,Macau,N/A,French contemporary,$$$$,3
Jade Dragon,2019,22.149137,113.56715,Macau,Macau,N/A,Cantonese,$$,3
Maaemo,2019,59.910477,10.760408,Oslo,Norway,191,Modern cuisine,$$$$,3
Masa,2019,40.76855,-73.98335,New York,New York City,10019,Japanese,$$$$,3
Per Se,2019,40.76828,-73.98292,New York,New York City,10019,Contemporary,$$$$,3
Le Bernardin,2019,40.76177,-73.98223,New York,New York City,10019,Seafood,$$$$,3
Eleven Madison Park,2019,40.7417,-73.98712,New York,New York City,10010,Contemporary,$$$$,3
Chef's Table at Brooklyn Fare,2019,40.68872,-73.98581,New York,New York City,10018,Contemporary,$$$$,3
